step,systemic_risk,affected_nodes,maximum_shock
0,1.3534832937633363,1,0.6767416468816682
1,1.338669883451689,4,0.5752303998494179
2,1.3282209408855559,5,0.4936765016170683
3,1.321438946335932,5,0.4280982327568248
4,1.317703897680043,5,0.3753122324863372
5,1.3164734341428925,6,0.3327729215729831
6,1.317279081081888,6,0.2984443250599842
7,1.3197203593616746,6,0.2706977328247485
8,1.3234579061762632,6,0.24822997121261592
9,1.3282063414222096,6,0.22999812092998279
10,1.333727331087025,6,0.21516736138059336
