ticker,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BANKBARODA,BHARTIARTL,CANBK,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,LTIM,M&M,MARUTI,NESTLEIND,NTPC,ONGC,PNB,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,WIPRO
ADANIENT,1.0,0.5391163934534557,0.18612521509123592,0.21512408909411215,0.3217373224829858,0.22575991950557708,0.28500708158982285,0.29018071637427284,0.3549043300514667,0.22862954680531358,0.3831964345904128,0.18014766794596102,0.25740304383680124,0.20850860151415498,0.14880568133602218,0.23120871159461207,0.33661165815993244,0.1596683235013266,0.293833262240696,0.30169930527107264,0.2310989936664142,0.33094623566303744,0.15085451573472794,0.3381068530538341,0.2888033965231886,0.14579476640497394,0.18400582106947236,0.3605386659293913,0.28639245978144334,0.36445905824081964,0.1693980379772046,0.2905266212752742,0.29529290868938163,0.11520681223745029,0.286719505302281,0.2748855533771006,0.3391040155582593,0.24391288983798748,0.326187600102829,0.26956474450435824,0.37835813912228505,0.2748600828219516,0.20607352835670964,0.31338759983834125,0.3563356616214596,0.143519684612113,0.17619808364836834,0.23961665181497668,0.3125373982272997,0.1700388372108743
ADANIPORTS,0.5391163934534557,1.0,0.2093177218990309,0.24584685810022716,0.3647870808642909,0.25410599314371785,0.29789465711441604,0.30330934688753497,0.3653921226114273,0.23131203187366284,0.39937057779370067,0.20432403035570443,0.2585782342654317,0.22768871332439877,0.16420928352661476,0.2481400570840397,0.34482734114149594,0.18901231571471694,0.33642922259675107,0.3273259124753955,0.26318521935025063,0.3597850433302183,0.17074963193554726,0.37271078600280616,0.30691234786722693,0.16909212968926188,0.22248334160673214,0.37223547058339346,0.31981657627921006,0.40022464198079777,0.20220983733193032,0.2995087355227563,0.3080783932779227,0.11757453078446416,0.33012356355376576,0.2774704405828711,0.3634181114318313,0.2865361781418208,0.3331488438489023,0.31180911961195557,0.3857176120349241,0.3065670566053642,0.20940899951907205,0.3123239906959104,0.36694910735603026,0.16164895392146456,0.2130720158396895,0.24515580996982034,0.34559035724634923,0.18820502489277313
APOLLOHOSP,0.18612521509123592,0.2093177218990309,1.0,0.19671973598926729,0.21961179320683455,0.18625623345440293,0.21820462801279106,0.23004977200003665,0.16810746467003743,0.14541778354158627,0.1884622746920871,0.18906694698190743,0.14118136656070732,0.2089204139181627,0.2061991896911374,0.18796367956454102,0.20738034035836642,0.16263957600991974,0.20379055702928475,0.24878640155301548,0.18417158321580673,0.21578766689113038,0.15906534052999555,0.21745945454401563,0.17835555793844432,0.1522722148940593,0.14475638032734098,0.20386145927894492,0.20319591646491764,0.21576079642992163,0.20765841417827843,0.20249665711031892,0.1960764646946256,0.1371233530099964,0.1317521450939663,0.16204784146580686,0.1623849549660564,0.14804338372554565,0.18823463594720477,0.22041671817279185,0.1891869184007698,0.17322480611760888,0.20519320565754956,0.19924863888022107,0.20631029415126942,0.15232938447567368,0.17995539884550502,0.18166863966020033,0.24494125970320338,0.18361623676144598
ASIANPAINT,0.21512408909411215,0.24584685810022716,0.19671973598926729,1.0,0.2754237395582765,0.2831825479654497,0.26892716838100006,0.28958955204115366,0.2059300968179434,0.2087536191494889,0.2329234618400252,0.1746007204104837,0.16043815674067416,0.2010100853872483,0.15553850864361568,0.282052080024197,0.32573803311017796,0.16496768635540654,0.30558098143189005,0.29178098955806103,0.27155148181704725,0.21706809463186325,0.30500480522589013,0.284677119465695,0.2666089290186912,0.15992620252808445,0.21296053521096928,0.2680718584093304,0.29230629427342975,0.31175750436024585,0.21067313973097482,0.2580948534350281,0.3391320192246327,0.22062878442477096,0.1965878875177821,0.14427095703685308,0.18764489980166946,0.17246371474553662,0.2899656501708322,0.2502654677826532,0.23934731393667844,0.23055870442860676,0.17672096800798298,0.2353214104204477,0.243770536690187,0.17670186205854962,0.17553117064467025,0.2799053197899091,0.36475297472140106,0.17250187882341297
AXISBANK,0.3217373224829858,0.3647870808642909,0.21961179320683455,0.2754237395582765,1.0,0.32292314486865287,0.39938269220110323,0.4173955378584434,0.4732811891252567,0.26144384159780093,0.49918050970890315,0.20133786232109052,0.2722610498333443,0.1920368837392331,0.15987732306856803,0.3096128853653611,0.4163202427829569,0.19845107180511048,0.516973008494114,0.34665002758415353,0.2917779092463325,0.394761393421539,0.20348164010955705,0.6738637889355943,0.5033591702239933,0.207571378426392,0.2496612225164278,0.42734128606935845,0.4658308087200626,0.5214655844630669,0.17486132745883315,0.38389973194483856,0.41495609842920467,0.1290426382567556,0.32675205446388833,0.29794799347108636,0.4516383218308809,0.2688618226482568,0.38175625574597916,0.3247855627264201,0.5798943138166532,0.4248160984152949,0.19426163275312544,0.39425927056470506,0.4142358259822029,0.18373134685502815,0.23123372208093643,0.33997374391824486,0.38662751922807415,0.20003187047761328
BAJAJ-AUTO,0.22575991950557708,0.25410599314371785,0.18625623345440293,0.2831825479654497,0.32292314486865287,1.0,0.2844451445219475,0.2894447305288278,0.25071620081399687,0.2480678341030353,0.27972688682265695,0.19985636940652196,0.18752886483245854,0.22211724564595361,0.19354168874711716,0.32952242817861105,0.3235711018093326,0.1972345177807517,0.3364927042204368,0.28506998502739345,0.4992602081642755,0.310774135736048,0.218235301272769,0.3158505705299006,0.30315891729306643,0.16903089727298182,0.2208457800741889,0.31020879323508965,0.30773449520081814,0.33162213121275025,0.18992205007322108,0.3902516744396406,0.397711036321953,0.16505640311465805,0.2400319192840707,0.2450115462575993,0.23681073965497196,0.22697000135757206,0.3022422568307994,0.2896750419778378,0.2870973835450069,0.2644870530771453,0.19932798964491172,0.33655128002339185,0.3028734437484421,0.19878034254396537,0.1754875861172888,0.2765704051962244,0.33274866448014756,0.20209293540975112
BAJAJFINSV,0.28500708158982285,0.29789465711441604,0.21820462801279106,0.26892716838100006,0.39938269220110323,0.2844451445219475,1.0,0.5791325877054961,0.29923951101560736,0.22171414890958133,0.31625736509870367,0.14908639657041262,0.2163543900400177,0.17578577208349877,0.13017964359151793,0.29919848562858736,0.3417327601602428,0.17553326846907527,0.3701630416071683,0.37230126095434507,0.2570159862766082,0.3309380334632059,0.17564094438143363,0.37456770793194905,0.36928966319325846,0.1773443525610412,0.21839568651005056,0.34898872903051187,0.3571688914679634,0.3560654841455928,0.24562273464559367,0.3389174004858897,0.3410217063868881,0.13770532665181473,0.25429042624883447,0.22777130237503262,0.2791239935968606,0.2091599793599094,0.3056271166503508,0.38712304161108324,0.35726962476264024,0.3431633256609393,0.17393355226748505,0.3049573821994948,0.3420521939924785,0.18140673088965348,0.20750336410854683,0.29013611256865074,0.34043418128249175,0.18258786273401173
BAJFINANCE,0.29018071637427284,0.30330934688753497,0.23004977200003665,0.28958955204115366,0.4173955378584434,0.2894447305288278,0.5791325877054961,1.0,0.3067802807381118,0.23138166368241134,0.3364847092630848,0.1543016708720779,0.21772716874519582,0.1924097012057551,0.13240427397996626,0.33681108563213447,0.35464473154021187,0.14966405278393452,0.4071254768005318,0.3574488310496651,0.26417836459349536,0.31124670344266897,0.20893345279489042,0.40683090192532606,0.38738800095265663,0.17723099775843576,0.22554842972952505,0.3377329166108187,0.4059250132519961,0.3658907976427228,0.21303640757689382,0.34977066203150664,0.36143194727181727,0.14425176149388225,0.25541846107101834,0.22315525420214205,0.31066466514937624,0.20520869533458022,0.31948207575594156,0.33963918490272943,0.3926244047646108,0.38853866991147934,0.17278583866504907,0.3113260702686753,0.32440261682435667,0.16541235171196358,0.19589619510949852,0.3007424873373497,0.35180266827883516,0.16371184134560746
BANKBARODA,0.3549043300514667,0.3653921226114273,0.16810746467003743,0.2059300968179434,0.4732811891252567,0.25071620081399687,0.29923951101560736,0.3067802807381118,1.0,0.23179083328955946,0.7389509051868579,0.19218680735977822,0.3287949097687447,0.18106946798936832,0.12455883054688328,0.2668187015595614,0.36285897105544185,0.13525693153505602,0.33605128573377707,0.29050166834982266,0.25929749293841464,0.36164260417075395,0.09422326515970196,0.5049347401004706,0.35853942240439757,0.12069702489726976,0.2263122444795285,0.38135172261166594,0.33141800164707597,0.43169508212597246,0.14999445427331404,0.3091332219200129,0.3320436743061362,0.05746317631788598,0.32051092550926236,0.3141361198060716,0.739043761630433,0.2823591543913124,0.31372638551282783,0.26132210556299335,0.7183684065401409,0.340498118442082,0.18277975429508192,0.36173010487468793,0.42231271717169744,0.11071334677541692,0.18493018509645695,0.25119083618959115,0.331031898972138,0.13809634058050616
BHARTIARTL,0.22862954680531358,0.23131203187366284,0.14541778354158627,0.2087536191494889,0.26144384159780093,0.2480678341030353,0.22171414890958133,0.23138166368241134,0.23179083328955946,1.0,0.25899784053475056,0.18068820491000667,0.16966148113497265,0.1734163190784752,0.13764393284404602,0.20306136895465923,0.31008802229064497,0.15332491419135544,0.27937348641840226,0.2704581432169706,0.23105159058228905,0.28454924092092754,0.16211031690029348,0.30670591292466354,0.2533616010491082,0.1729328678097223,0.21937827040383318,0.2933714835643976,0.24835995639800504,0.29541799770842875,0.17276091616025374,0.265727734040837,0.2476123765580105,0.1250624910906085,0.23174234095970803,0.23101240931426226,0.23054339898548695,0.21616483893170793,0.280596113610439,0.23167407636814424,0.2819770192064071,0.22672057219725011,0.1829255551467138,0.2501849090187939,0.2818825157547309,0.15603092395232845,0.15803744254921126,0.22722394930630327,0.27042520467320247,0.15706189407289847
