day,portfolio_value
0,0.32325835311833184
1,0.3909325178064987
2,0.45183926602584884
3,0.506655339423264
4,0.5559898054809376
5,0.6003908249328438
6,0.6403517424395594
7,0.6763165681956035
8,0.7086849113760432
9,0.7378164202384389
10,0.764034778214595
11,0.7876313003931354
12,0.8088681703538219
13,0.8279813533184397
14,0.8451832179865957
15,0.8606648961879361
16,0.8745984065691425
17,0.8871385659122282
18,0.8984247093210054
19,0.9085822383889048
20,0.9177240145500144
21,0.925951613095013
22,0.9333564517855116
23,0.9400208066069604
24,0.9460187259462643
25,0.951416853351638
26,0.9562751680164742
27,0.9606476512148268
28,0.9645828860933441
29,0.9681245974840097
30,0.9713121377356088
31,0.9741809239620479
32,0.9767628315658431
33,0.9790865484092588
34,0.981177893568333
35,0.9830601042114997
36,0.9847540937903497
37,0.9862786844113147
38,0.9876508159701832
39,0.988885734373165
40,0.9899971609358484
41,0.9909974448422636
42,0.9918977003580373
43,0.9927079303222335
44,0.9934371372900102
45,0.9940934235610092
46,0.9946840812049083
47,0.9952156730844174
48,0.9956941057759756
49,0.9961246951983781
50,0.9965122256785403
51,0.9968610031106863
52,0.9971749027996176
53,0.9974574125196558
54,0.9977116712676902
55,0.9979405041409212
56,0.9981464537268291
57,0.9983318083541461
58,0.9984986275187315
59,0.9986487647668584
60,0.9987838882901725
61,0.9989054994611553
62,0.9990149495150398
63,0.9991134545635358
64,0.9992021091071822
65,0.999281898196464
66,0.9993537083768176
67,0.9994183375391358
68,0.9994765037852222
69,0.9995288534067001
70,0.9995759680660301
71,0.9996183712594271
72,0.9996565341334844
73,0.999690880720136
74,0.9997217926481224
75,0.9997496133833101
76,0.9997746520449792
77,0.9997971868404812
78,0.9998174681564331
79,0.9998357213407898
80,0.9998521492067108
81,0.9998669342860398
82,0.9998802408574358
83,0.9998922167716922
84,0.999902995094523
85,0.9999126955850707
86,0.9999214260265636
87,0.9999292834239073
88,0.9999363550815166
89,0.9999427195733649
90,0.9999484476160284
91,0.9999536028544256
92,0.999958242568983
93,0.9999624183120848
94,0.9999661764808763
95,0.9999695588327886
96,0.9999726029495097
97,0.9999753426545588
98,0.9999778083891029
99,0.9999800275501926
100,0.9999820247951733
101,0.999983822315656
102,0.9999854400840904
103,0.9999868960756814
104,0.9999882064681133
105,0.9999893858213019
106,0.9999904472391717
107,0.9999914025152545
108,0.9999922622637291
109,0.9999930360373561
110,0.9999937324336206
111,0.9999943591902585
112,0.9999949232712326
113,0.9999954309441094
114,0.9999958878496984
115,0.9999962990647285
116,0.9999966691582557
117,0.9999970022424302
118,0.9999973020181872
119,0.9999975718163684
120,0.9999978146347316
121,0.9999980331712585
122,0.9999982298541326
123,0.9999984068687193
124,0.9999985661818473
125,0.9999987095636627
126,0.9999988386072964
127,0.9999989547465667
128,0.9999990592719101
129,0.9999991533447191
130,0.9999992380102471
131,0.9999993142092224
132,0.9999993827883001
133,0.9999994445094701
134,0.9999995000585231
135,0.9999995500526708
136,0.9999995950474038
137,0.9999996355426634
138,0.999999671988397
139,0.9999997047895574
140,0.9999997343106016
141,0.9999997608795415
142,0.9999997847915874
143,0.9999998063124286
144,0.9999998256811857
145,0.9999998431130671
146,0.9999998588017605
147,0.9999998729215844
148,0.999999885629426
149,0.9999998970664834
150,0.999999907359835
151,0.9999999166238516
152,0.9999999249614664
153,0.9999999324653197
154,0.9999999392187877
155,0.9999999452969089
156,0.999999950767218
157,0.9999999556904963
158,0.9999999601214467
159,0.999999964109302
160,0.9999999676983718
161,0.9999999709285347
162,0.9999999738356812
163,0.999999976452113
164,0.9999999788069017
165,0.9999999809262116
166,0.9999999828335904
167,0.9999999845502313
168,0.9999999860952082
169,0.9999999874856874
170,0.9999999887371187
171,0.9999999898634069
172,0.9999999908770661
173,0.9999999917893595
174,0.9999999926104235
175,0.9999999933493812
176,0.9999999940144431
177,0.9999999946129987
178,0.9999999951516988
179,0.9999999956365289
