Date,Sector,Open,High,Low,Close,Volume
2010-01-04,NIFTY BANK,9031.900390625,9129.4501953125,9031.900390625,9112.349609375,0
2010-01-04,NIFTY IT,5819.5,5889.2001953125,5819.5,5877.25,0
2010-01-05,NIFTY BANK,9191.25,9214.0,9157.349609375,9192.150390625,0
2010-01-05,NIFTY IT,5898.9501953125,5923.25,5874.89990234375,5913.64990234375,0
2010-01-06,NIFTY BANK,9243.900390625,9265.5498046875,9183.650390625,9223.0,0
2010-01-06,NIFTY IT,5913.89990234375,5922.14990234375,5816.5498046875,5824.89990234375,0
2010-01-07,NIFTY BANK,9240.25,9261.849609375,9153.25,9192.9501953125,0
2010-01-07,NIFTY IT,5828.2001953125,5840.0498046875,5690.7998046875,5702.85009765625,0
2010-01-08,NIFTY BANK,9185.0498046875,9214.349609375,9141.4501953125,9160.7001953125,0
2010-01-08,NIFTY IT,5694.7998046875,5694.7998046875,5599.2998046875,5607.89990234375,0
2010-01-11,NIFTY BANK,9209.150390625,9248.0,9161.0498046875,9173.5498046875,0
2010-01-11,NIFTY IT,5629.7001953125,5691.7998046875,5606.14990234375,5649.64990234375,0
2010-01-12,NIFTY BANK,9173.849609375,9173.849609375,8973.0498046875,8985.099609375,0
2010-01-12,NIFTY IT,5741.64990234375,5897.0,5741.64990234375,5862.39990234375,0
2010-01-13,NIFTY BANK,8912.599609375,8937.849609375,8836.7001953125,8926.099609375,0
2010-01-13,NIFTY IT,5866.5498046875,6082.5,5846.75,6075.7998046875,0
2010-01-14,NIFTY BANK,8952.0,9040.0,8883.099609375,8910.7998046875,0
2010-01-14,NIFTY IT,6095.7001953125,6160.0,6004.85009765625,6105.2998046875,0
2010-01-15,NIFTY BANK,8961.650390625,8982.5498046875,8874.7998046875,8911.099609375,0
2010-01-15,NIFTY IT,6095.14990234375,6145.39990234375,6058.60009765625,6118.39990234375,0
2010-01-18,NIFTY BANK,8887.150390625,9120.349609375,8863.2001953125,9093.25,0
2010-01-18,NIFTY IT,6131.75,6190.85009765625,6112.39990234375,6181.14990234375,0
2010-01-19,NIFTY BANK,9125.900390625,9202.5,9093.9501953125,9135.900390625,0
2010-01-19,NIFTY IT,6175.25,6181.60009765625,6044.5498046875,6068.7001953125,0
2010-01-20,NIFTY BANK,9177.75,9196.400390625,9104.099609375,9126.349609375,0
2010-01-20,NIFTY IT,6108.9501953125,6123.2998046875,6024.10009765625,6052.39990234375,0
2010-01-21,NIFTY BANK,9093.0,9098.099609375,8889.0498046875,8919.2998046875,0
2010-01-21,NIFTY IT,6028.4501953125,6098.64990234375,5927.14990234375,5951.89990234375,0
2010-01-22,NIFTY BANK,8891.7998046875,8891.7998046875,8659.900390625,8772.650390625,0
2010-01-22,NIFTY IT,5951.9501953125,5951.9501953125,5814.60009765625,5874.60009765625,0
2010-01-25,NIFTY BANK,8724.7998046875,8751.2001953125,8669.5498046875,8696.599609375,0
2010-01-25,NIFTY IT,5850.60009765625,5850.60009765625,5745.9501953125,5799.2998046875,0
2010-01-27,NIFTY BANK,8564.599609375,8602.650390625,8294.599609375,8329.7998046875,0
2010-01-27,NIFTY IT,5753.64990234375,5767.89990234375,5577.5,5599.0,0
2010-01-28,NIFTY BANK,8396.5,8496.099609375,8354.25,8423.849609375,0
2010-01-28,NIFTY IT,5639.7998046875,5729.2001953125,5572.0498046875,5649.35009765625,0
2010-01-29,NIFTY BANK,8346.5498046875,8687.0,8306.099609375,8651.5498046875,0
2010-01-29,NIFTY IT,5554.85009765625,5619.4501953125,5423.4501953125,5594.14990234375,0
2010-02-01,NIFTY BANK,8597.4501953125,8712.25,8495.25,8649.25,0
2010-02-01,NIFTY IT,5543.5498046875,5739.5498046875,5477.9501953125,5643.4501953125,0
2010-02-02,NIFTY BANK,8666.7001953125,8718.650390625,8453.900390625,8468.150390625,0
2010-02-02,NIFTY IT,5720.0498046875,5745.0,5561.7001953125,5586.7001953125,0
2010-02-03,NIFTY BANK,8489.7998046875,8662.9501953125,8489.7998046875,8631.849609375,0
2010-02-03,NIFTY IT,5599.5498046875,5713.75,5599.5498046875,5698.85009765625,0
2010-02-04,NIFTY BANK,8591.7998046875,8623.25,8455.5,8471.099609375,0
2010-02-04,NIFTY IT,5686.75,5686.75,5541.75,5565.9501953125,0
2010-02-05,NIFTY BANK,8319.150390625,8319.150390625,8150.4501953125,8223.25,0
2010-02-05,NIFTY IT,5460.75,5510.60009765625,5401.5498046875,5449.75,0
2010-02-08,NIFTY BANK,8279.75,8412.2998046875,8160.9501953125,8342.2001953125,0
2010-02-08,NIFTY IT,5503.10009765625,5555.75,5387.9501953125,5484.64990234375,0
2010-02-09,NIFTY BANK,8322.0,8420.400390625,8271.5498046875,8392.4501953125,0
2010-02-09,NIFTY IT,5474.60009765625,5620.7998046875,5474.60009765625,5606.2998046875,0
2010-02-10,NIFTY BANK,8410.5498046875,8444.2001953125,8259.400390625,8290.0,0
2010-02-10,NIFTY IT,5616.7001953125,5654.0498046875,5563.64990234375,5573.4501953125,0
2010-02-11,NIFTY BANK,8327.7001953125,8451.9501953125,8327.7001953125,8381.400390625,0
2010-02-11,NIFTY IT,5595.2001953125,5678.0498046875,5595.2001953125,5644.2001953125,0
2010-02-15,NIFTY BANK,8441.599609375,8441.599609375,8282.0498046875,8312.7001953125,0
2010-02-15,NIFTY IT,5669.89990234375,5698.85009765625,5630.0498046875,5667.0498046875,0
2010-02-16,NIFTY BANK,8324.2998046875,8432.150390625,8289.150390625,8397.7998046875,0
2010-02-16,NIFTY IT,5665.5,5767.7998046875,5642.25,5745.10009765625,0
2010-02-17,NIFTY BANK,8446.5498046875,8569.25,8446.5498046875,8551.5,0
2010-02-17,NIFTY IT,5779.7001953125,5798.25,5712.0498046875,5743.7998046875,0
2010-02-18,NIFTY BANK,8574.75,8602.0,8523.349609375,8573.900390625,0
2010-02-18,NIFTY IT,5745.7998046875,5785.5,5722.14990234375,5741.10009765625,0
2010-02-19,NIFTY BANK,8490.25,8530.25,8407.9501953125,8487.099609375,0
2010-02-19,NIFTY IT,5701.7998046875,5758.2001953125,5686.25,5712.4501953125,0
2010-02-22,NIFTY BANK,8565.2998046875,8598.25,8473.150390625,8493.349609375,0
2010-02-22,NIFTY IT,5759.5498046875,5815.7001953125,5740.89990234375,5752.7998046875,0
2010-02-23,NIFTY BANK,8491.400390625,8577.900390625,8453.400390625,8512.9501953125,0
2010-02-23,NIFTY IT,5750.89990234375,5796.60009765625,5729.89990234375,5783.7998046875,0
2010-02-24,NIFTY BANK,8463.4501953125,8527.349609375,8458.4501953125,8504.5498046875,0
2010-02-24,NIFTY IT,5744.25,5828.2998046875,5744.25,5779.75,0
2010-02-25,NIFTY BANK,8520.599609375,8554.9501953125,8469.650390625,8537.7998046875,0
2010-02-25,NIFTY IT,5810.25,5814.89990234375,5752.35009765625,5782.10009765625,0
2010-02-26,NIFTY BANK,8535.4501953125,8851.349609375,8527.0498046875,8722.75,0
2010-02-26,NIFTY IT,5787.2998046875,5832.0,5724.7998046875,5766.7001953125,0
2010-03-02,NIFTY BANK,8826.900390625,8945.599609375,8826.900390625,8922.099609375,0
2010-03-02,NIFTY IT,5823.5498046875,5857.7001953125,5797.9501953125,5848.7001953125,0
2010-03-03,NIFTY BANK,8922.150390625,9046.900390625,8922.150390625,9039.4501953125,0
2010-03-03,NIFTY IT,5885.14990234375,5913.14990234375,5848.89990234375,5896.7001953125,0
2010-03-04,NIFTY BANK,9055.9501953125,9068.9501953125,8965.25,9013.7998046875,0
2010-03-04,NIFTY IT,5906.2998046875,5906.2998046875,5799.4501953125,5833.60009765625,0
2010-03-05,NIFTY BANK,9012.849609375,9095.2998046875,8967.7998046875,9038.4501953125,0
2010-03-05,NIFTY IT,5834.0498046875,5863.0498046875,5815.5498046875,5843.2001953125,0
2010-03-08,NIFTY BANK,9102.150390625,9178.5498046875,9093.4501953125,9145.9501953125,0
2010-03-08,NIFTY IT,5843.4501953125,5905.7998046875,5843.4501953125,5882.7001953125,0
2010-03-09,NIFTY BANK,9118.7001953125,9177.0,9073.5,9138.2001953125,0
2010-03-09,NIFTY IT,5903.85009765625,5968.10009765625,5880.4501953125,5925.10009765625,0
2010-03-10,NIFTY BANK,9136.25,9156.0,9074.0,9119.25,0
2010-03-10,NIFTY IT,5926.2998046875,5947.7001953125,5881.9501953125,5897.85009765625,0
2010-03-11,NIFTY BANK,9114.650390625,9219.2001953125,9087.349609375,9186.849609375,0
2010-03-11,NIFTY IT,5900.0,5980.0498046875,5900.0,5960.0498046875,0
2010-03-12,NIFTY BANK,9201.150390625,9230.0,9145.599609375,9172.900390625,0
2010-03-12,NIFTY IT,5977.14990234375,5987.89990234375,5933.14990234375,5960.64990234375,0
2010-03-15,NIFTY BANK,9118.2001953125,9146.2001953125,9056.150390625,9085.5,0
2010-03-15,NIFTY IT,5980.64990234375,6052.0498046875,5906.5,6038.4501953125,0
2010-03-16,NIFTY BANK,9071.0,9121.9501953125,8986.75,9102.9501953125,0
2010-03-16,NIFTY IT,6059.2001953125,6119.7001953125,6021.89990234375,6102.75,0
2010-03-17,NIFTY BANK,9162.4501953125,9221.0498046875,9142.0,9188.400390625,0
2010-03-17,NIFTY IT,6094.0,6174.2998046875,6094.0,6143.0,0
2010-03-18,NIFTY BANK,9214.099609375,9287.599609375,9172.0498046875,9252.2998046875,0
2010-03-18,NIFTY IT,6155.75,6185.0,6129.75,6174.7001953125,0
2010-03-19,NIFTY BANK,9293.7001953125,9294.099609375,9231.900390625,9270.7998046875,0
2010-03-19,NIFTY IT,6189.60009765625,6189.60009765625,6132.7001953125,6145.4501953125,0
2010-03-22,NIFTY BANK,9171.2001953125,9240.849609375,9066.7001953125,9186.9501953125,0
2010-03-22,NIFTY IT,6086.25,6162.2998046875,6085.14990234375,6128.75,0
2010-03-23,NIFTY BANK,9192.4501953125,9257.900390625,9166.400390625,9222.900390625,0
2010-03-23,NIFTY IT,6174.5498046875,6176.39990234375,6123.14990234375,6142.7001953125,0
2010-03-25,NIFTY BANK,9191.400390625,9342.0,9165.5,9318.25,0
2010-03-25,NIFTY IT,6137.5498046875,6220.0498046875,6128.0498046875,6201.2001953125,0
2010-03-26,NIFTY BANK,9331.650390625,9473.2001953125,9321.5,9456.2001953125,0
2010-03-26,NIFTY IT,6223.5,6223.5,6135.0,6151.89990234375,0
2010-03-29,NIFTY BANK,9452.099609375,9578.5,9452.099609375,9517.599609375,0
2010-03-29,NIFTY IT,6133.64990234375,6140.89990234375,6039.85009765625,6050.9501953125,0
2010-03-30,NIFTY BANK,9558.9501953125,9587.650390625,9461.25,9470.2998046875,0
2010-03-30,NIFTY IT,6033.14990234375,6042.85009765625,5908.14990234375,5917.75,0
2010-03-31,NIFTY BANK,9509.849609375,9537.4501953125,9440.349609375,9459.599609375,0
2010-03-31,NIFTY IT,5947.60009765625,5967.5498046875,5842.2998046875,5855.9501953125,0
2010-04-01,NIFTY BANK,9464.150390625,9523.400390625,9445.5498046875,9507.75,0
2010-04-01,NIFTY IT,5861.4501953125,5994.25,5861.4501953125,5984.0,0
2010-04-05,NIFTY BANK,9593.5498046875,9708.900390625,9582.0,9698.599609375,0
2010-04-05,NIFTY IT,5992.7998046875,6017.35009765625,5933.2998046875,5993.89990234375,0
2010-04-06,NIFTY BANK,9732.599609375,9772.400390625,9674.099609375,9728.2001953125,0
2010-04-06,NIFTY IT,6001.60009765625,6003.64990234375,5924.0,5934.7998046875,0
2010-04-07,NIFTY BANK,9778.5,9793.2001953125,9639.849609375,9681.0498046875,0
2010-04-07,NIFTY IT,5947.85009765625,5947.85009765625,5871.9501953125,5920.0498046875,0
2010-04-08,NIFTY BANK,9676.7001953125,9676.7001953125,9492.2998046875,9520.0,0
2010-04-08,NIFTY IT,5892.10009765625,5994.2998046875,5892.10009765625,5950.0,0
2010-04-09,NIFTY BANK,9538.0,9686.25,9538.0,9656.5,0
2010-04-09,NIFTY IT,5959.25,6013.2998046875,5943.64990234375,5950.7001953125,0
2010-04-12,NIFTY BANK,9661.2001953125,9667.400390625,9547.599609375,9575.4501953125,0
2010-04-12,NIFTY IT,5969.10009765625,5985.89990234375,5916.85009765625,5963.7998046875,0
2010-04-13,NIFTY BANK,9565.0498046875,9565.349609375,9453.5498046875,9483.0,0
2010-04-13,NIFTY IT,6041.5,6163.14990234375,5905.14990234375,6141.14990234375,0
2010-04-15,NIFTY BANK,9501.599609375,9575.25,9330.7998046875,9344.599609375,0
2010-04-15,NIFTY IT,6141.60009765625,6230.60009765625,6126.7001953125,6171.75,0
2010-04-16,NIFTY BANK,9345.5,9410.150390625,9266.150390625,9353.75,0
2010-04-16,NIFTY IT,6141.85009765625,6194.60009765625,6117.5498046875,6142.85009765625,0
2010-04-19,NIFTY BANK,9273.849609375,9357.0498046875,9206.0,9302.900390625,0
2010-04-19,NIFTY IT,6123.5498046875,6123.5498046875,6026.60009765625,6064.25,0
2010-04-20,NIFTY BANK,9314.5498046875,9501.849609375,9314.5498046875,9446.099609375,0
2010-04-20,NIFTY IT,6117.0498046875,6117.0498046875,5990.14990234375,6000.0,0
2010-04-21,NIFTY BANK,9477.099609375,9574.5498046875,9477.099609375,9555.2998046875,0
2010-04-21,NIFTY IT,6036.5498046875,6050.39990234375,5976.60009765625,6004.60009765625,0
2010-04-22,NIFTY BANK,9534.0498046875,9739.099609375,9500.150390625,9623.25,0
2010-04-22,NIFTY IT,5990.4501953125,6087.4501953125,5977.9501953125,6017.2001953125,0
2010-04-23,NIFTY BANK,9653.150390625,9824.9501953125,9653.150390625,9813.2998046875,0
2010-04-23,NIFTY IT,6055.60009765625,6072.2998046875,6001.85009765625,6016.14990234375,0
2010-04-26,NIFTY BANK,9890.7998046875,9920.4501953125,9824.75,9839.150390625,0
2010-04-26,NIFTY IT,6034.5,6059.85009765625,6024.10009765625,6040.0,0
2010-04-27,NIFTY BANK,9827.0,9827.0,9744.7001953125,9756.4501953125,0
2010-04-27,NIFTY IT,6034.7998046875,6045.5,6015.7001953125,6037.75,0
2010-04-28,NIFTY BANK,9630.349609375,9723.349609375,9603.5,9634.900390625,0
2010-04-28,NIFTY IT,6014.64990234375,6014.64990234375,5939.5,5949.64990234375,0
2010-04-29,NIFTY BANK,9652.599609375,9822.0498046875,9652.599609375,9803.7998046875,0
2010-04-29,NIFTY IT,5949.7998046875,5961.64990234375,5899.35009765625,5938.5498046875,0
2010-04-30,NIFTY BANK,9809.400390625,9923.150390625,9809.400390625,9870.349609375,0
2010-04-30,NIFTY IT,5947.85009765625,6021.75,5914.7001953125,5985.7998046875,0
2010-05-03,NIFTY BANK,9809.400390625,9863.4501953125,9741.5,9775.5,0
2010-05-03,NIFTY IT,5946.39990234375,5958.2998046875,5901.85009765625,5930.0,0
2010-05-04,NIFTY BANK,9816.599609375,9837.7001953125,9607.4501953125,9623.7001953125,0
2010-05-04,NIFTY IT,5955.2998046875,5958.60009765625,5855.85009765625,5871.7998046875,0
2010-05-05,NIFTY BANK,9461.349609375,9609.4501953125,9454.75,9581.849609375,0
2010-05-05,NIFTY IT,5811.89990234375,5956.60009765625,5771.5498046875,5932.0,0
2010-05-06,NIFTY BANK,9588.849609375,9627.4501953125,9449.75,9582.0,0
2010-05-06,NIFTY IT,5925.25,5925.25,5835.39990234375,5867.89990234375,0
2010-05-07,NIFTY BANK,9426.650390625,9444.0498046875,9239.7998046875,9276.099609375,0
2010-05-07,NIFTY IT,5811.7001953125,5818.25,5712.25,5726.60009765625,0
2010-05-10,NIFTY BANK,9419.5,9684.400390625,9402.0498046875,9656.25,0
